Operación tradicional:
n: 1k
1.588135 ms.	1.550049 ms.	1.549805 ms.	1.585938 ms.	1.447998 ms.	1.576904 ms.	1.490967 ms.	1.458008 ms.	1.372070 ms.	1.258057 ms.	1.352783 ms.	1.342041 ms.	 
157.998047 ms.	131.921143 ms.	178.513184 ms.	363.915039 ms.	526.062012 ms.	290.375977 ms.	215.277100 ms.	214.065918 ms.	200.364990 ms.	188.458984 ms.	195.273926 ms.	135.093994 ms.	 
192.097900 ms.	135.715088 ms.	222.545166 ms.	312.853027 ms.	290.153076 ms.	515.178223 ms.	238.682129 ms.	220.218994 ms.	220.576904 ms.	193.980957 ms.	190.500000 ms.	134.747070 ms.	 
144.416016 ms.	114.749023 ms.	149.577148 ms.	210.823975 ms.	215.187012 ms.	238.335938 ms.	267.946045 ms.	229.784912 ms.	206.449951 ms.	199.558105 ms.	197.737061 ms.	138.279053 ms.	 
146.668945 ms.	113.940918 ms.	153.243896 ms.	205.222900 ms.	213.506836 ms.	220.150879 ms.	231.416016 ms.	326.126953 ms.	234.634033 ms.	209.101074 ms.	205.692139 ms.	145.429932 ms.	 
147.588135 ms.	107.418945 ms.	150.113037 ms.	198.429199 ms.	201.185059 ms.	219.759033 ms.	206.513184 ms.	234.609863 ms.	310.707031 ms.	212.704102 ms.	211.987061 ms.	156.534180 ms.	 
122.989014 ms.	112.495117 ms.	141.607910 ms.	183.760986 ms.	188.766113 ms.	192.857910 ms.	195.694092 ms.	209.690918 ms.	212.104980 ms.	295.376953 ms.	233.857178 ms.	146.801025 ms.	 
146.983887 ms.	105.966064 ms.	124.919922 ms.	208.580078 ms.	194.351074 ms.	189.441162 ms.	195.941162 ms.	203.980957 ms.	209.157959 ms.	234.074951 ms.	445.238037 ms.	264.372070 ms.	 
106.861084 ms.	70.910889 ms.	77.031982 ms.	158.776855 ms.	135.378906 ms.	135.437988 ms.	138.886963 ms.	146.082031 ms.	156.751953 ms.	146.384033 ms.	264.094238 ms.	336.845947 ms.	 
 
n: 10m
5768.470215 ms.	3704.834961 ms.	3810.067139 ms.	3404.287842 ms.	2967.753906 ms.	3543.213135 ms.	2762.195068 ms.	2836.144775 ms.	2843.678955 ms.	2106.085938 ms.	2715.615967 ms.	2251.534912 ms.	 
3683.494141 ms.	6036.234131 ms.	4333.713867 ms.	3666.037842 ms.	3400.573975 ms.	3793.527832 ms.	3117.000977 ms.	2990.984863 ms.	3032.908936 ms.	2310.687988 ms.	2891.797119 ms.	2467.742920 ms.	 
3785.189941 ms.	4224.417236 ms.	9398.099854 ms.	4982.975830 ms.	3951.977051 ms.	4248.140137 ms.	3031.070068 ms.	3569.468018 ms.	3323.090088 ms.	2579.369141 ms.	3224.706055 ms.	2748.414062 ms.	 
3410.741943 ms.	3564.814941 ms.	4998.844971 ms.	9350.868896 ms.	4584.695801 ms.	4574.177002 ms.	3301.623047 ms.	3728.166016 ms.	3560.007080 ms.	2599.606934 ms.	3318.714844 ms.	2903.304932 ms.	 
2959.681885 ms.	3248.385986 ms.	3981.330811 ms.	4586.037109 ms.	7810.403076 ms.	5081.667969 ms.	3437.411133 ms.	3705.271973 ms.	3321.412842 ms.	2640.520020 ms.	3259.677002 ms.	2767.791016 ms.	 
3538.944092 ms.	3819.054932 ms.	4252.508057 ms.	4563.117188 ms.	5104.037109 ms.	9006.696045 ms.	4425.882080 ms.	4336.805908 ms.	4444.664795 ms.	3410.462891 ms.	4004.247803 ms.	3362.368164 ms.	 
2747.974121 ms.	3093.056885 ms.	3012.347900 ms.	3295.035156 ms.	3449.535889 ms.	4385.365234 ms.	7359.669922 ms.	4474.166016 ms.	4812.523193 ms.	3554.813965 ms.	3684.265869 ms.	3032.843994 ms.	 
2831.458008 ms.	2995.021973 ms.	3530.987061 ms.	3736.761963 ms.	3703.434082 ms.	4333.149170 ms.	4462.266113 ms.	8537.475098 ms.	5451.362061 ms.	4430.479980 ms.	4261.385986 ms.	3355.518066 ms.	 
2827.940186 ms.	3032.546875 ms.	3323.208008 ms.	3554.349121 ms.	3322.990234 ms.	4441.534180 ms.	4736.291016 ms.	5452.521973 ms.	8740.105957 ms.	4695.596191 ms.	4723.486084 ms.	4052.552002 ms.	 
2102.925049 ms.	2312.059082 ms.	2577.727051 ms.	2596.383789 ms.	2637.478027 ms.	3409.972168 ms.	3566.170166 ms.	4432.709961 ms.	4702.353027 ms.	6986.878906 ms.	4010.412842 ms.	3245.981934 ms.	 
2704.731934 ms.	2938.236084 ms.	3225.729004 ms.	3330.399902 ms.	3256.254883 ms.	3997.810059 ms.	3690.321045 ms.	4248.846924 ms.	4733.640137 ms.	4015.188965 ms.	7631.181885 ms.	5361.561035 ms.	 
2251.094971 ms.	2470.208984 ms.	2743.558105 ms.	2901.582031 ms.	2786.783936 ms.	3361.270020 ms.	3050.338135 ms.	3356.005127 ms.	4056.075928 ms.	3256.373047 ms.	5356.250000 ms.	7889.045166 ms.	 
 
Operación estrategia paralela:
n: 1k
1.854980 ms.	1.789062 ms.	1.875000 ms.	1.825928 ms.	1.708984 ms.	1.779053 ms.	1.173096 ms.	1.681885 ms.	1.363037 ms.	1.523926 ms.	1.596191 ms.	1.258789 ms.	 
1.739014 ms.	1.602051 ms.	1.564941 ms.	1.568848 ms.	1.364990 ms.	1.239014 ms.	1.364014 ms.	1.673096 ms.	1.606934 ms.	1.115967 ms.	1.562012 ms.	1.560791 ms.	 
1.493164 ms.	1.392090 ms.	1.423096 ms.	1.618164 ms.	1.782959 ms.	1.604980 ms.	1.816162 ms.	1.286865 ms.	1.222900 ms.	1.531006 ms.	1.314941 ms.	1.069824 ms.	 
1.832031 ms.	1.814941 ms.	1.647949 ms.	1.895996 ms.	1.491211 ms.	1.892090 ms.	1.539795 ms.	1.489990 ms.	1.688965 ms.	1.535156 ms.	1.376953 ms.	1.616943 ms.	 
1.364990 ms.	1.303223 ms.	1.551025 ms.	1.312988 ms.	1.338867 ms.	1.730957 ms.	1.712158 ms.	1.762207 ms.	1.249023 ms.	1.283203 ms.	1.545166 ms.	1.309082 ms.	 
1.356934 ms.	1.543945 ms.	1.496094 ms.	1.732910 ms.	1.295166 ms.	1.468994 ms.	1.779053 ms.	1.694092 ms.	1.252930 ms.	1.193115 ms.	1.589844 ms.	1.595947 ms.	 
1.752930 ms.	1.522949 ms.	1.373047 ms.	1.805908 ms.	1.444824 ms.	1.781982 ms.	1.410889 ms.	1.506836 ms.	1.344971 ms.	1.102051 ms.	1.542969 ms.	1.359863 ms.	 
1.339844 ms.	1.122070 ms.	1.460938 ms.	1.370850 ms.	1.773926 ms.	1.520020 ms.	1.721191 ms.	1.432861 ms.	1.645996 ms.	1.106934 ms.	1.521973 ms.	1.217773 ms.	 
1.378174 ms.	1.380127 ms.	1.306885 ms.	1.411133 ms.	1.244141 ms.	1.217041 ms.	1.610107 ms.	1.630127 ms.	1.781982 ms.	1.150879 ms.	1.337891 ms.	1.414062 ms.	 
0.997070 ms.	1.211914 ms.	1.500000 ms.	1.196045 ms.	1.274902 ms.	1.503906 ms.	1.100830 ms.	1.105957 ms.	1.585938 ms.	1.031006 ms.	1.537842 ms.	1.012939 ms.	 
1.622070 ms.	1.593994 ms.	1.610840 ms.	1.597900 ms.	1.229004 ms.	1.627930 ms.	1.165039 ms.	1.633057 ms.	1.436035 ms.	1.153076 ms.	1.620117 ms.	1.333008 ms.	 
1.360840 ms.	1.166016 ms.	1.607910 ms.	1.409912 ms.	1.679932 ms.	1.376953 ms.	1.542969 ms.	1.612061 ms.	1.139160 ms.	1.537109 ms.	1.114014 ms.	1.813965 ms.	 
 
n: 10k
